company_name,stock_symbol,market_value,total_shares,shares_outstanding,par_value,price_to_book,dividend_yield,enterprise_value,sector,industry
شركة أسمنت القصيم,3040,5914.91,110.56,24.89,10.0,2.15,3.97,5278.97,Basic Materials,
شركة أسمنت المنطقة الجنوبية,3050,4697.0,140.0,23.36,10.0,1.44,2.98,4906.68,Basic Materials,
شركة أسمنت ينبع,3060,3698.1,157.5,16.87,10.0,1.39,6.4,3927.11,Basic Materials,Building Materials
شركة أسمنت المنطقة الشرقية,3080,2911.1,86.0,28.19,10.0,1.2,4.73,2689.3,Basic Materials,
شركة أسمنت تبوك,3090,1153.8,90.0,14.8,10.0,0.87,1.95,1223.99,Basic Materials,
شركة أسمنت الجوف,3091,1104.39,108.7,11.51,10.0,0.88,0.0,1727.55,Basic Materials,
شركة أسمنت الرياض,3092,3846.0,120.0,14.16,10.0,2.26,4.82,3685.39,Basic Materials,
شركة التصنيع الوطنية,2060,7144.0,668.91,14.51,10.0,0.74,0.0,11802.29,Basic Materials,Chemicals
شركة الكثيري القابضة,3008,608.05,226.04,0.59,50.0,4.57,0.0,690.44,Basic Materials,
شركة زهرة الواحة للتجارة,3007,760.5,22.5,12.97,10.0,2.61,3.99,949.6,Consumer Cyclical,
شركة أنابيب الشرق المتكاملة للصناعة,1321,4668.3,31.5,31.27,10.0,4.74,1.01,4601.01,Basic Materials,
شركة المصانع الكبرى للتعدين,1322,6129.0,90.0,13.52,10.0,5.04,2.04,6237.06,Basic Materials,
شركة أرامكو السعودية لزيوت الأساس,2223,19338.75,168.75,24.54,10.0,4.67,8.74,18968.65,Energy,
الشركة السعودية لإنتاج الأنابيب الفخارية,2360,570.0,15.0,8.83,10.0,4.3,0.0,570.14,Industrials,
مجموعة أسترا الصناعية,1212,13744.0,80.0,29.86,10.0,5.75,1.46,13560.67,Industrials,Conglomerates
شركة بوان,1302,2754.0,60.0,14.96,10.0,3.07,3.27,3141.79,Industrials,Building Products & Equipment
شركة الصناعات الكهربائية,1303,9101.25,1125.0,0.75,50.0,10.77,1.85,9318.61,Industrials,
شركة الخزف السعودي,2040,3535.0,100.0,15.08,10.0,2.34,2.26,4281.54,Industrials,
شركة الكابلات السعودية,2110,583.8,6.67,-64.15,10.0,-1.36,0.0,679.08,Industrials,Electrical Equipment & Parts
شركة أميانتيت العربية السعودية,2160,1447.88,44.55,21.07,10.0,1.54,0.0,1635.58,Industrials,
شركة البابطين للطاقة والإتصالات,2320,2398.13,63.95,15.99,10.0,2.35,2.67,3392.29,Industrials,
شركة الشرق الأوسط للكابلات المتخصصة,2370,1484.0,40.0,11.16,10.0,3.33,0.0,1496.94,Industrials,
الشركة السعودية للصادرات الصناعية,4140,509.33,194.4,0.68,1.0,3.86,0.0,383.92,Industrials,
شركة العمران للصناعة والتجارة,4141,480.6,12.0,13.02,10.0,3.08,0.0,469.4,Industrials,
شركة مجموعة كابلات الرياض,4142,17880.0,150.0,17.64,10.0,6.76,2.1,18625.45,Industrials,
شركة الحسن غازي إبراهيم شاكر,1214,1376.4,55.5,14.12,10.0,1.76,0.0,1622.37,Technology,
شركة باتك للإستثمار والأعمال اللوجستية,4110,2292.0,600.0,0.76,1.0,5.02,0.0,2361.98,Industrials,
شركة مجموعة التيسير تالكو الصناعية,4143,2312.0,40.0,13.59,10.0,4.25,2.6,2180.89,Basic Materials,
الشركة السعودية للطباعة والتغليف,4270,802.8,60.0,6.17,10.0,2.17,0.0,1550.31,Communication Services,Publishing
شركة كاتريون للتموين القابضة,6004,9922.0,82.0,16.53,10.0,7.32,1.74,9574.7,Industrials,Airports & Air Services
شركة صدر للخدمات اللوجستية,1832,591.5,175.0,0.94,1.0,3.59,0.0,572.46,Industrials,
شركة مهارة للموارد البشرية,1831,3220.5,475.0,1.31,1.0,5.17,2.58,3704.0,Industrials,
شركة الموارد للقوى البشرية,1833,1602.0,15.0,25.17,10.0,4.24,2.35,1463.61,Industrials,
الشركة السعودية لحلول القوى البشرية,1834,3244.0,400.0,1.45,1.0,5.59,0.0,3007.2,Industrials,Staffing & Employment Services
الشركة السعودية للخدمات الأرضية,4031,9230.8,188.0,12.65,10.0,3.88,0.0,8578.63,Industrials,Airports & Air Services
الشركة السعودية للنقل الجماعي,4040,2762.5,125.0,7.32,10.0,3.02,0.0,3754.16,Industrials,
الشركة المتحدة الدولية للمواصلات,4260,6253.6,78.17,33.68,10.0,2.38,1.72,6921.65,Industrials,
